Date,Open,High,Low,Close
06/16/2022,"30,305.74","30,305.74","29,740.35","29,927.07"
06/15/2022,"30,570.50","31,011.97","30,185.08","30,668.53"
06/14/2022,"30,592.34","30,690.80","30,144.23","30,364.83"
06/13/2022,"31,144.91","31,144.91","30,373.72","30,516.74"
06/10/2022,"32,053.52","32,053.52","31,387.84","31,392.79"
06/09/2022,"32,828.62","32,956.73","32,267.78","32,272.79"
06/08/2022,"33,087.07","33,156.50","32,824.37","32,910.90"
06/07/2022,"32,783.03","33,207.45","32,641.85","33,180.14"
06/06/2022,"33,032.04","33,235.37","32,819.50","32,915.78"
06/03/2022,"32,986.32","33,135.61","32,839.21","32,899.70"
06/02/2022,"32,809.01","33,248.61","32,509.43","33,248.28"
06/01/2022,"33,156.31","33,272.34","32,584.76","32,813.23"
05/31/2022,"33,160.59","33,240.22","32,752.34","32,990.12"
05/27/2022,"32,735.09","33,213.62","32,682.01","33,212.96"
05/26/2022,"32,248.17","32,774.14","32,248.17","32,637.19"
05/25/2022,"31,816.31","32,254.44","31,754.33","32,120.28"
05/24/2022,"31,717.61","32,014.86","31,365.59","31,928.62"
05/23/2022,"31,395.89","31,968.42","31,395.89","31,880.24"
05/20/2022,"31,426.94","31,515.78","30,635.76","31,261.90"
05/19/2022,"31,262.62","31,569.13","31,016.41","31,253.13"
05/18/2022,"32,468.67","32,468.67","31,393.95","31,490.07"
05/17/2022,"32,427.00","32,689.14","32,308.15","32,654.59"
05/16/2022,"32,152.15","32,514.02","31,928.18","32,223.42"
05/13/2022,"31,963.86","32,276.05","31,862.79","32,196.66"
05/12/2022,"31,699.04","31,914.46","31,228.22","31,730.30"
05/11/2022,"32,123.24","32,584.02","31,798.86","31,834.11"
05/10/2022,"32,504.09","32,752.17","31,887.89","32,160.74"
05/09/2022,"32,685.17","32,685.17","32,121.98","32,245.70"
05/06/2022,"32,773.88","33,055.84","32,474.69","32,899.37"
05/05/2022,"33,854.17","33,854.17","32,685.10","32,997.97"
05/04/2022,"33,171.80","34,117.74","33,021.84","34,061.06"
05/03/2022,"33,086.09","33,341.58","32,914.75","33,128.79"
05/02/2022,"32,978.49","33,224.95","32,449.87","33,061.50"
04/29/2022,"33,787.01","33,919.59","32,913.15","32,977.21"
04/28/2022,"33,425.96","34,054.79","33,248.46","33,916.39"
04/27/2022,"33,450.92","33,697.18","33,108.89","33,301.93"
04/26/2022,"33,907.49","33,909.51","33,230.95","33,240.18"
04/25/2022,"33,731.65","34,106.01","33,323.37","34,049.46"
04/22/2022,"34,727.38","34,727.38","33,773.39","33,811.40"
04/21/2022,"35,258.80","35,492.22","34,723.82","34,792.76"
04/20/2022,"34,962.67","35,315.40","34,962.67","35,160.79"
04/19/2022,"34,394.62","34,983.11","34,394.62","34,911.20"
04/18/2022,"34,411.49","34,618.29","34,279.08","34,411.69"
04/14/2022,"34,628.46","34,889.17","34,437.50","34,451.23"
04/13/2022,"34,166.64","34,598.36","34,140.64","34,564.59"
04/12/2022,"34,412.51","34,669.97","34,102.81","34,220.36"
04/11/2022,"34,630.27","34,701.34","34,272.29","34,308.08"
04/08/2022,"34,569.24","34,908.46","34,470.19","34,721.12"
04/07/2022,"34,439.24","34,705.83","34,190.95","34,583.57"
04/06/2022,"34,520.34","34,609.84","34,277.17","34,496.51"
04/05/2022,"34,876.33","35,112.21","34,566.04","34,641.18"
04/04/2022,"34,799.98","34,940.78","34,615.38","34,921.88"
04/01/2022,"34,740.89","34,847.91","34,538.25","34,818.27"
03/31/2022,"35,201.52","35,201.52","34,677.99","34,678.35"
03/30/2022,"35,273.63","35,361.36","35,058.58","35,228.81"
03/29/2022,"35,114.35","35,372.26","35,030.07","35,294.19"
03/28/2022,"34,833.03","34,957.93","34,552.23","34,955.89"
03/25/2022,"34,702.39","34,942.70","34,631.52","34,861.24"
03/24/2022,"34,406.81","34,713.56","34,355.42","34,707.94"
03/23/2022,"34,748.84","34,748.84","34,352.96","34,358.50"
03/22/2022,"34,583.24","34,882.03","34,583.24","34,807.46"
03/21/2022,"34,669.85","34,808.28","34,341.81","34,552.99"
03/18/2022,"34,466.72","34,755.20","34,279.83","34,754.93"
03/17/2022,"33,995.39","34,483.92","33,896.06","34,480.76"
03/16/2022,"33,653.93","34,075.94","33,391.24","34,063.10"
03/15/2022,"32,989.27","33,620.84","32,989.27","33,544.34"
03/14/2022,"33,000.37","33,395.59","32,818.16","32,945.24"
03/11/2022,"33,279.72","33,515.61","32,911.89","32,944.19"
03/10/2022,"33,106.77","33,236.59","32,819.76","33,174.07"
03/09/2022,"32,860.42","33,457.28","32,860.42","33,286.25"
03/08/2022,"32,885.17","33,402.98","32,578.73","32,632.64"
03/07/2022,"33,579.75","33,579.75","32,806.15","32,817.38"
03/04/2022,"33,655.43","33,655.43","33,254.12","33,614.80"
03/03/2022,"33,972.87","34,179.07","33,641.53","33,794.66"
03/02/2022,"33,379.51","34,013.67","33,379.51","33,891.35"
03/01/2022,"33,813.48","33,870.14","33,107.67","33,294.95"
02/28/2022,"33,870.62","33,963.63","33,469.31","33,892.60"
02/25/2022,"33,277.22","34,095.74","33,277.22","34,058.75"
02/24/2022,"32,830.33","33,269.34","32,272.64","33,223.83"
02/23/2022,"33,680.97","33,832.59","33,084.90","33,131.76"
02/22/2022,"33,974.09","34,024.74","33,364.29","33,596.61"
02/18/2022,"34,310.45","34,423.58","33,976.18","34,079.18"
02/17/2022,"34,858.47","34,858.47","34,246.23","34,312.03"
02/16/2022,"34,951.83","35,042.09","34,642.64","34,934.27"
02/15/2022,"34,686.19","35,047.79","34,686.19","34,988.84"
02/14/2022,"34,694.50","34,744.56","34,304.28","34,566.17"
02/11/2022,"35,267.89","35,431.15","34,620.52","34,738.06"
02/10/2022,"35,630.81","35,800.24","35,100.72","35,241.59"
02/09/2022,"35,614.90","35,824.28","35,614.90","35,768.06"
